ADDRESS,VOLUME_DITTO,BUSD_REWARD_18_DECIMALS,DITTO_REWARD_9_DECIMALS
0x64FaB1755AD397c6eE851aa506CBb7CaD13AC8dd,3640.5125632320005,7473298877084182528,6441983632
0x1C43a8B9b921D45d6d1fe8B70D6fC71199303Ba9,3175.009278126,6517706740691939328,5618263210
0x2F1454A5Bd2D9A2A7d9d9bfA21619CFbb1c5Afbd,3128.7220008120003,6422687522500614144,5536356644
0x0f29eA40e325361530E7b4d67eb569f817a263Cf,3043.872327993,6248506839537597440,5386212895
0x4341f3Ac194a15C6125329aff3c77309b739cd7d,2968.9946827470003,6094796884574868480,5253714914
0x0fb10D74D4A63a496f3142A504507491fe7fDF9B,2905.065924174,5963562968647150592,5140591278
0xA10d11eB58c417b639fa977c297275e6db6acFCf,2862.19883096,5875564755753843712,5064736819
0x01ecc44Ddd2D104F44D2AA1A2bD9DFbC91aE8275,2739.62809914,5623949716232987648,4847844655
0x63a1518A827F58fC2072A11162b890Ad4F2A5e32,2706.504966287,5555954051541181440,4789232392
0x78D091f8eFD482b40A77674C788a31a0C5AD6f6d,2660.451687422,5461415188881055744,4707739892
0x164572AcFf302AC81C257299fC5c2a074f069C34,2513.64935041,5160057146218205184,4447969260
0x2eE42B83fc842D2AF1F712262646348198A69B77,2503.927367739,5140099714148883456,4430765953
0x03089989b31B697419A7DA7395Ee563297B1c30C,2449.620095918,5028616930758328320,4334667794
0x68930d01858BbE3e511925d1bD14e0AEF149a552,2445.1331024400006,5019405963143689216,4326727940
0xa37EC1fAA6f073B13751252ADf9ADdd43629369f,2441.034562227,5010992418226732032,4319475464
0x9d201Bb5da57460496F0D94afd60a5A13A3231D9,2380.92023072,4887588815479900160,4213101558
0x1486EC3AfA21c8D32B98525d294129C068f6993b,2356.0,4836432191509588992,4169004549
0x082757345d70785a64D3c70dEdf0C3236Cd84c22,2261.312856007,4642056999943439360,4001453133
0xac7951800ec46d1A1a5a8B5F76507e1bEE529692,2232.1640290240002,4582219850043046912,3949873510
0xa5889D266d96b5DF7dc6454B20E88C4b06f6B59e,2221.1309559519996,4559570991903530496,3930350195
0x3F3fe93175d8D963feBFAd182168fd754e1451FC,2206.673606278,4529892727316415488,3904767530
0x0B99d5983D9dA00CF3A64Fa82e13db33ac03265A,2205.324281119,4527122812360642560,3902379864
0x7d0f006E83F2a6F8a3b3be45d879Cbd3F2990cAB,2187.118903425,4489750539551707136,3870164965
